Minute,religion,pro_services,care_household_members,social_relax_leisure,travel,household_services,gov_services,eat_drink,volunteering,household_activities,care_non_household_members,sports_exercise,calls,personal_care,consumer_purchases,work,education
0,0.00063,0.00009,0.00252,0.01119,0.0037,0,0,0.00276,0.00014,0.00498,0.00023,0.0007,0.00029,0.95604,0.00012,0.01629,0.00031
1,0.00067,0.00009,0.00253,0.01124,0.00371,0,0,0.00286,0.00014,0.005,0.00022,0.00072,0.00029,0.95582,0.00013,0.01627,0.00031
2,0.00067,0.00009,0.00254,0.01131,0.00371,0,0,0.00287,0.00014,0.00489,0.00023,0.00072,0.00028,0.95583,0.00013,0.01628,0.00031
3,0.00067,0.00009,0.00253,0.01137,0.00369,0,0,0.00288,0.00013,0.00481,0.00024,0.00072,0.00028,0.95586,0.00013,0.01629,0.00031
4,0.00067,0.00009,0.00253,0.01138,0.00367,0,0,0.00288,0.00013,0.00478,0.00024,0.00072,0.00028,0.95589,0.00014,0.01628,0.00031
5,0.00064,0.00009,0.00247,0.01144,0.00363,0,0,0.00287,0.00014,0.00442,0.00023,0.00076,0.00024,0.9563,0.00013,0.01632,0.00032
6,0.00064,0.00009,0.00247,0.01145,0.00364,0,0,0.00288,0.00014,0.00442,0.00023,0.00076,0.00024,0.95629,0.00013,0.01631,0.00032
7,0.00064,0.00009,0.00247,0.01145,0.00362,0,0,0.00288,0.00014,0.00441,0.00023,0.00075,0.00024,0.95631,0.00013,0.01631,0.00032
8,0.00064,0.00009,0.00247,0.01146,0.00362,0,0,0.00289,0.00014,0.00439,0.00023,0.00075,0.00024,0.95632,0.00014,0.01631,0.00032
9,0.00064,0.00009,0.00247,0.01146,0.00361,0,0,0.00289,0.00014,0.00439,0.00023,0.00075,0.00024,0.95632,0.00014,0.01631,0.00032
10,0.00063,0.00009,0.00234,0.01158,0.00352,0,0,0.00281,0.00015,0.0042,0.00025,0.00076,0.00024,0.95661,0.00013,0.01637,0.00032
11,0.00064,0.00009,0.00234,0.0116,0.00353,0,0,0.0028,0.00015,0.00418,0.00024,0.00077,0.00022,0.95659,0.00013,0.01639,0.00032
12,0.00065,0.00009,0.00234,0.01161,0.00354,0,0,0.00278,0.00015,0.00414,0.00024,0.00078,0.00022,0.95662,0.00012,0.01639,0.00032
13,0.00065,0.00009,0.00234,0.01165,0.00354,0,0,0.00278,0.00015,0.00412,0.00024,0.00078,0.00022,0.95661,0.00011,0.0164,0.00032
14,0.00064,0.00009,0.00234,0.01166,0.00355,0,0,0.00278,0.00015,0.00411,0.00024,0.00078,0.00022,0.95662,0.00011,0.0164,0.00032
15,0.00065,0.0001,0.0022,0.01175,0.00365,0,0,0.00279,0.00015,0.00423,0.00025,0.0008,0.00022,0.95631,0.00012,0.01647,0.00031
16,0.00066,0.0001,0.00219,0.01176,0.00365,0,0,0.0028,0.00015,0.00422,0.00025,0.0008,0.00023,0.9563,0.00012,0.01648,0.00031
17,0.00066,0.0001,0.00217,0.01177,0.00364,0,0,0.0028,0.00015,0.00418,0.00024,0.0008,0.00022,0.95637,0.00012,0.01648,0.00031
18,0.00066,0.0001,0.00216,0.01176,0.00364,0,0,0.00279,0.00015,0.00419,0.00024,0.0008,0.00022,0.95639,0.00012,0.01648,0.00031
